,Date,Price,Open,High,Low,Volume,pct_change,MA10,MA10_td,MA30,MA30_td,MA50,MA50_td,%K,%K_td,%D,%D_td,RSI,RSI_td,Momentum,Momentum_td,EMA12,EMA26,MACD,Signal,MACD_td,TP,SMA_TP,MD,CCI,CCI_td,MA,STD,Upper_BB,Lower_BB,BB_td,ATR,OBV,OBV_td,VWAP,VWAP_td,Fib_23.6,Fib_38.2,Fib_50.0,Fib_61.8,Tenkan_sen,Kijun_sen,Senkou_span_A,Senkou_span_B,Chikou_span,PMO,PMO_td,Volatility,Volatility_Ratio,Volatility_Ratio_td,TSI,TSI_td
54,2010-09-10,0.1,0.1,0.1,0.1,4940.0,0.0,0.1,0,0.1,0,0.1,0,100.0,0,100.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.09833333333333336,0.003166666666666665,35.087719298245574,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.05,0.1,,0.1,,0,0.0,,0,0.0,0
55,2010-09-11,0.1,0.1,0.1,0.1,7750.0,0.0,0.1,0,0.1,0,0.1,0,100.0,0,100.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.09833333333333336,0.003166666666666665,35.087719298245574,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.05,0.1,,0.1,,0,0.0,,0,0.0,0
56,2010-09-12,0.1,0.1,0.1,0.1,790.0,0.0,0.1,0,0.1,0,0.1,0,100.0,0,100.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.09833333333333336,0.003166666666666665,35.087719298245574,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.05,0.1,,0.1,,0,0.0,,0,0.0,0
57,2010-09-13,0.1,0.1,0.1,0.1,10080.0,0.0,0.1,0,0.1,0,0.1,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.09833333333333336,0.003166666666666665,35.087719298245574,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,0.05,0.1,,0.1,,0,0.0,,0,,0
58,2010-09-14,0.1,0.1,0.2,0.1,14020.0,0.0,0.1,0,0.1,0,0.1,0,0.0,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.13333333333333333,0.10000000000000002,0.003333333333333333,666.6666666666663,-1,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.15000000000000002,0.1,0.1,,0.1,,0,0.0,,0,0.0,0
59,2010-09-15,0.1,0.1,0.1,0.1,3650.0,0.0,0.1,0,0.1,0,0.1,0,0.0,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.003333333333333333,0.0,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.15000000000000002,0.1,0.1,,0.1,,0,0.0,,0,0.0,0
60,2010-09-16,0.1,0.1,0.1,0.1,730.0,0.0,0.1,0,0.1,0,0.1,0,0.0,0,0.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.003333333333333333,0.0,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.15000000000000002,0.1,0.1,,0.1,,0,0.0,,0,0.0,0
61,2010-09-17,0.1,0.1,0.1,0.1,7260.0,0.0,0.1,0,0.1,0,0.1,0,0.0,0,0.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.003333333333333333,0.0,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.15000000000000002,0.1,0.1,,0.1,,0,0.0,,0,0.0,0
62,2010-09-18,0.1,0.1,0.1,0.1,7090.0,0.0,0.1,0,0.1,0,0.1,0,0.0,0,0.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.003333333333333333,0.0,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.15000000000000002,0.1,0.1,,0.1,,0,0.0,,0,0.0,0
63,2010-09-19,0.1,0.1,0.1,0.1,12850.0,0.0,0.1,0,0.1,0,0.1,0,0.0,0,0.0,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10166666666666668,0.003166666666666688,-35.08771929824532,0,0.1,0.0,0.1,0.1,,0.0071428571428571435,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.15000000000000002,0.1,0.1,,0.1,,0,0.0,,0,0.0,0
